Name,,,Address,late,long
8 Ahmed Saleh ,,,"Borham, As Sahel, Cairo Governorate, Egypt ",30.085174,31.242367
Ebeid ,,,"As Sahel, Cairo Governorate, Egypt",30.083615,31.234235
The Engineering Co. For Mechanical Turning - Farouk Gendy Sons ,cairo,menyat,"12 ش كرم، Menyat as Serg, As Sahel, Cairo Governorate, Egypt ‎ ",30.069855 ,31.245500‎ 
"
Mechanical Engineering ",cairo,shoubra,"2 Hanna Wasef St.، SHOUBRA، Cairo Governorate, Egypt ‎ ",30.072158,31.24947
Garage Equipments Center  ,cairo,down town,"55 ش الجمهورية، وسط البلد، Cairo Governorate, Egypt ‎
",30.102366,31.242156
El Hassan Center For Service & Cars Maintenance  ,cairo ,al qubbah,"1 ميدان قصر القبة، Hadaeq Al Qubbah, القاهرة، Egypt ‎
",30.123749,31.275115
Diaa El Din El Garhy,giza,mourad st,"8 mourad st.، Giza, Egypt ‎",30.104742,31.254516
Arabeya,giza,doki,"Ad Doqi A, Ad Doqi, Giza, Egypt ‎",30.127312,31.260009
El Alamya,giza,embabah,"Al Moatamadeyah, Embabah, Giza, Egypt ‎",30.149877,31.239409
مركز معدات خدمة السيارات,cairo,down town,"55 ش الجمهورية، وسط البلد، محافظة القاهرة‬ ‏
",30.060774,31.24649
مركز الحسن لخدمة وصيانة السيارات,cairo,al qubbah,1 ميدان قصر القبة، حدائق القبة، القاهرة ,30.085434,31.275158
مركز ايمن للتصوير الهندسى,cairo,naser city,مدينه نصر، المنطقة الأولى، CAIRO ‏,30.068351,31.335583
تكنوموتيف مركز خدمة وصيانة السيارات تويوتا,cairo,el sahrawy,منيل شيحة، الجيزة ‏,29.962073,31.245461
قناة السويس لاصلاح وصيانة السيارات,cairo,embabah,"طريق اسكندرية القاهرة الصحراوى، أبو رواش، إمبابة، الجيزة ‏
",30.027934,31.105385
مركز امير وجوزيف لصيانة السيارات,cairo,abou eldawoud,"43 Abou Dawoud El Zahery St.، المنطقة الأولى، CAIRO ‏
",30.072659,",31.356354"
السبع اوتوسيرفس,cairo,maadi,"المنطقة الصناعية، المعادي، محافظة القاهرة‬ ‏
",30.005639,31.267605
مركز شريف لخدمة وصيانة السيارات,giza,6 october,"المنطقة الصناعية الاولى، الجيزة ‏
",29.95077,30.903683
"مركز الصفا لتحليل العوادم وصيانة الكربراتير والانجكشن  
",cairo,gesr el suez,"52 Mokhtar Abaza St.، GESR EL SUEZ، محافظة القاهرة‬ ‏
",30.169469,31.405792
العالمية الهندسية السيارات,giza,embabah,"المعتمدية، إمبابة، الجيزة ‏
",30.069094,31.20426
مركز خدمة فولكس فاجن,giza,el maneel,"المنيل الشرقي، مصر القديمة، الجيزة ‏
",30.049482,31.240654
تكنولوجيا السيارات,cairo ,el qubbah,"الوايلي الكبير شرق، حدائق القبة، محافظة القاهرة‬ ‏
",30.118106,31.305542
Artoc Auto ( Skoda Service Center ),cairo,kattameya,"Ring Road, Kattameya، محافظة القاهرة‬ ‏
",30.016193,31.380386
البرنس لقطع غيار السيارات,cairo,zaki_st,"32 ش زكى، محافظة القاهرة‬ ‏
",30.005193,31.277046
مركز الفاروق لصيانه وتوكيلات السيارات,cairo,zhraa,"23 شارع مصر حلوان الزراعى - الزهراء - مصر القديمه, مصر 11770 ‏
",29.990623,31.279449
المتحدة الهندسية للسيارات - مركز خدمة تويوتا,cairo,elsheek abdalla,"27 سكة الشيخ عبد الله، محافظة القاهرة‬ ‏
",30.07979,31.280823
"شركة ايسترن للتجارة، مركز خدمة و موزع معتمد اسكودا  
",cairo,elsindbad,"172 josseph Tito St., ElSindbad Road، Cairo ‏
",30.162939,31.410942
ستريو سياره,cairo,abdin,"رحبة عابدين، Abdin, محافظة القاهرة‬ ‏
",30.064637,31.261597
"الشركة العربية الامريكية للسيارات - مركز خدمة جيب  
",cairo,suez,"CAIRO SUEZ RD.، محافظة القاهرة‬ ‏
",30.112167,31.434975
المتحدة الهندسية للسيارات - مركز خدمة تويوتا,cairo,maadi,"83، المعادي، محافظة القاهرة‬ ‏
",29.990029,31.294899
المركز التجارى الصينى,cairo,al azbakeyah,"Orabi, Al Azbakeyah, Cairo Governorate ‏
",30.059289,31.244173
"Eygpt Cars Test المصريه لفحص وتقييم السيارات  
",cairo,naser city,"الحي العاشر، مدينة نصر، محافظة القاهرة‬ ‏
",30.051265,31.369057
"مركز خدمة ومعارض محمد زكى  
",cairo,maadi,"23 ش النهضة، المعادي، محافظة القاهرة‬ ‏
",30.0529,31.197567
"الشركة المصرية التجارية واوتوموتيف - اى ايه تى سى  
",giza,giza st,"15 ش الجيزة، الجيزة ‏
",30.046213,31.229324
ADMCO Steel Buildings,cairo,naser city,"35 ibrahim nawar - 6th district، nasr city - cairo، مدينة نصر ‏
",30.093455,31.371117
"بلو آبل سوفت لتطوير النظم  
",cairo,el zmaleek,"عزيز اباظه، الزمالك، محافظة القاهرة‬ 12882 ‏
",30.066791,31.228638
"ونش الفرسان انقاذ سيارات القاهرة  
",cairo,maadi,"المعادى, صقر قريش ‏
",29.992705,31.288548
بى اوتو لتجارة السيارت,cairo,maadi,"Skr quraish autostarad, Maadi, Basatin 11435 ‏
",29.997908,31.28932
